status,list_date,list_price,price_reduced_amount,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type
sold,2023-12-04T17:20:32.000000Z,139900.0,,1978.0,,2024-01-01,139900.0,2.0,,,26136.0,1500.0,2.0,,,,1.0,4.0,single_family
sold,2023-11-10T14:20:36.000000Z,88000.0,3000.0,1945.0,,2024-01-16,88500.0,2.0,,,6534.0,1389.0,2.0,,,1.0,2.0,4.0,single_family
sold,2023-12-19T18:08:22.000000Z,149000.0,,1969.0,,2024-01-16,145000.0,2.0,,,17424.0,2058.0,2.0,,,,1.0,3.0,single_family
sold,2023-07-05T16:47:40.000000Z,68000.0,9000.0,1955.0,,2024-01-16,65000.0,2.0,,,9712.0,1432.0,2.0,,,,1.0,3.0,single_family
sold,2023-10-29T17:55:28.000000Z,169999.0,5000.0,1984.0,,2024-01-12,169000.0,2.0,,,10890.0,1804.0,2.0,,,,1.0,3.0,single_family
sold,2023-12-08T14:11:39.000000Z,189900.0,,1999.0,,2024-01-12,180000.0,2.0,,,12632.0,1476.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-27T22:50:49.000000Z,254999.0,5001.0,2001.0,,2024-01-12,260000.0,2.0,,,12632.0,1888.0,2.0,,,,1.0,4.0,single_family
sold,2023-02-24T15:00:22.000000Z,75000.0,,1962.0,,2024-01-12,60000.0,2.0,,,13068.0,1722.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-30T13:50:41.000000Z,159000.0,,1965.0,,2024-01-12,159000.0,2.0,,,11326.0,1635.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-09-01T00:58:27.000000Z,424900.0,,1974.0,,2024-01-12,424900.0,2.0,,1.0,740520.0,3339.0,3.0,,,,2.0,3.0,single_family
sold,2022-09-02T18:18:05.000000Z,395000.0,,,,2024-01-12,370000.0,,,,3397680.0,,0.0,,,,,,land
sold,2023-12-08T00:50:40.000000Z,140000.0,,1969.0,,2024-01-12,140000.0,2.0,,,14375.0,1576.0,2.0,,,,1.0,3.0,single_family
sold,2023-12-13T22:08:44.000000Z,149900.0,,1954.0,,2024-01-12,149900.0,1.0,,,13504.0,1736.0,1.0,,,,1.0,3.0,single_family
sold,2023-12-14T16:29:30.000000Z,50000.0,,1966.0,,2024-01-12,45000.0,1.0,,,4356.0,1434.0,1.0,,,,1.0,2.0,single_family
sold,2023-08-28T19:26:36.000000Z,320000.0,10000.0,2006.0,,2024-01-11,310000.0,2.0,,,13068.0,2134.0,2.0,,,2.0,1.0,4.0,single_family
sold,2023-10-25T19:07:59.000000Z,145000.0,,1986.0,,2024-01-10,147000.0,2.0,,,6970.0,1650.0,2.0,,,,1.0,3.0,single_family
sold,2023-07-25T20:45:25.000000Z,215000.0,,1968.0,,2024-01-10,195000.0,2.0,,,16553.0,2264.0,2.0,,,2.0,1.0,5.0,single_family
sold,2023-11-09T21:32:22.000000Z,136000.0,,1968.0,,2024-01-09,136000.0,2.0,,,16988.0,1752.0,2.0,,,2.0,1.0,3.0,single_family
sold,2024-01-10T03:11:24.000000Z,31500.0,,1958.0,,2024-01-09,31500.0,1.0,,,11326.0,961.0,1.0,,,,1.0,3.0,single_family
sold,2023-12-05T03:11:36.000000Z,169900.0,,1975.0,,2024-01-08,172500.0,2.0,,,11326.0,1699.0,2.0,,,,1.0,4.0,single_family
sold,2023-11-07T00:05:24.000000Z,184900.0,5000.0,1967.0,,2024-01-08,178000.0,2.0,,,12632.0,1892.0,2.0,,,,1.0,4.0,single_family
sold,2023-10-24T22:03:07.000000Z,159000.0,,1962.0,,2024-01-08,150000.0,2.0,,,67954.0,1833.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-09-08T14:32:07.000000Z,180000.0,20000.0,1945.0,,2024-01-08,170000.0,2.0,,1.0,313632.0,3092.0,3.0,,,,1.0,3.0,single_family
sold,2023-11-06T18:42:05.000000Z,125000.0,,1957.0,,2024-01-05,125000.0,1.0,,,12632.0,1380.0,1.0,,,,1.0,3.0,single_family
sold,2023-11-09T19:26:26.000000Z,180000.0,,1984.0,,2024-01-05,162000.0,2.0,,,6098.0,1539.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-09T16:29:22.000000Z,118900.0,,1950.0,,2024-01-05,111200.0,2.0,,,8276.0,1178.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-05T18:44:56.000000Z,65000.0,,1948.0,,2024-01-05,63000.0,1.0,,,7405.0,1290.0,1.0,,,1.0,1.0,3.0,single_family
sold,2023-10-23T18:51:02.000000Z,110000.0,,1964.0,,2024-01-05,106000.0,2.0,,,16553.0,2349.0,2.0,,,,1.0,4.0,single_family
sold,2023-08-08T14:32:27.000000Z,420000.0,15500.0,1989.0,,2024-01-05,310000.0,3.0,,,22651.0,3137.0,3.0,,,,1.0,4.0,single_family
sold,2023-10-17T22:03:02.000000Z,249000.0,,2001.0,,2024-01-05,245000.0,2.0,,,6534.0,1742.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-09-21T19:38:23.000000Z,105000.0,7900.0,1950.0,,2024-01-05,100000.0,1.0,,,15682.0,1471.0,1.0,,,,1.0,3.0,single_family
sold,2023-12-04T21:26:28.000000Z,95500.0,,1971.0,,2024-01-05,95900.0,1.0,,1.0,10664.0,1200.0,2.0,,,,1.0,3.0,single_family
sold,2023-09-21T17:39:14.000000Z,410000.0,,1940.0,,2024-01-04,375000.0,3.0,,1.0,30056.0,4483.0,4.0,,,2.0,2.0,4.0,single_family
sold,2023-12-02T15:38:34.000000Z,334900.0,,2004.0,,2024-01-04,320000.0,2.0,,,9583.0,2488.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-10-05T13:47:17.000000Z,119900.0,100.0,1971.0,,2024-01-04,120000.0,2.0,,,10019.0,1747.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-10T22:41:34.000000Z,289900.0,,1994.0,,2024-01-03,283000.0,2.0,,,13747.0,2069.0,2.0,,,2.0,1.0,4.0,single_family
sold,2023-11-15T22:35:40.000000Z,289900.0,,1994.0,,2024-01-02,284500.0,2.0,,,15682.0,2124.0,2.0,,,,1.0,4.0,single_family
sold,2023-11-08T13:11:39.000000Z,175000.0,,1989.0,,2024-01-02,160000.0,2.0,,,4792.0,1475.0,2.0,,,,1.0,2.0,single_family
sold,2023-09-22T04:03:13.000000Z,439900.0,5100.0,2022.0,,2024-01-02,439900.0,3.0,,1.0,4356.0,3050.0,4.0,,,2.0,2.0,4.0,single_family
sold,2023-09-25T20:39:05.000000Z,101200.0,,1968.0,,2024-01-02,68250.0,2.0,,,18731.0,2556.0,2.0,,,,1.0,3.0,single_family
sold,2023-07-19T21:50:53.000000Z,399000.0,10000.0,1987.0,,2024-01-02,385000.0,3.0,,1.0,29621.0,3288.0,4.0,,,2.0,2.0,4.0,single_family
sold,2023-12-04T17:20:32.000000Z,139900.0,,1978.0,,2024-01-01,139900.0,2.0,,,26136.0,1500.0,2.0,,,,1.0,4.0,single_family
sold,2023-08-03T03:41:29.000000Z,116000.0,,1975.0,,2023-12-30,115000.0,2.0,,,17280.0,2240.0,2.0,,,,1.0,3.0,single_family
sold,2023-12-19T18:08:22.000000Z,149000.0,,1969.0,,2024-01-16,145000.0,2.0,,,17424.0,2058.0,2.0,,,,1.0,3.0,single_family
sold,2023-07-05T16:47:40.000000Z,68000.0,9000.0,1955.0,,2024-01-16,65000.0,2.0,,,9712.0,1432.0,2.0,,,,1.0,3.0,single_family
sold,2023-10-29T17:55:28.000000Z,169999.0,5000.0,1984.0,,2024-01-12,169000.0,2.0,,,10890.0,1804.0,2.0,,,,1.0,3.0,single_family
sold,2023-12-08T14:11:39.000000Z,189900.0,,1999.0,,2024-01-12,180000.0,2.0,,,12632.0,1476.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-27T22:50:49.000000Z,254999.0,5001.0,2001.0,,2024-01-12,260000.0,2.0,,,12632.0,1888.0,2.0,,,,1.0,4.0,single_family
sold,2023-02-24T15:00:22.000000Z,75000.0,,1962.0,,2024-01-12,60000.0,2.0,,,13068.0,1722.0,2.0,,,,1.0,3.0,single_family
sold,2023-09-01T00:58:27.000000Z,424900.0,,1974.0,,2024-01-12,424900.0,2.0,,1.0,740520.0,3339.0,3.0,,,,2.0,3.0,single_family
sold,2022-09-02T18:18:05.000000Z,395000.0,,,,2024-01-12,370000.0,,,,3397680.0,,0.0,,,,,,land
sold,2023-11-30T13:50:41.000000Z,159000.0,,1965.0,,2024-01-12,159000.0,2.0,,,11326.0,1635.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-12-08T00:50:40.000000Z,140000.0,,1969.0,,2024-01-12,140000.0,2.0,,,14375.0,1576.0,2.0,,,,1.0,3.0,single_family
sold,2023-12-13T22:08:44.000000Z,149900.0,,1954.0,,2024-01-12,149900.0,1.0,,,13504.0,1736.0,1.0,,,,1.0,3.0,single_family
sold,2023-12-14T16:29:30.000000Z,50000.0,,1966.0,,2024-01-12,45000.0,1.0,,,4356.0,1434.0,1.0,,,,1.0,2.0,single_family
sold,2023-08-28T19:26:36.000000Z,320000.0,10000.0,2006.0,,2024-01-11,310000.0,2.0,,,13068.0,2134.0,2.0,,,2.0,1.0,4.0,single_family
sold,2023-10-25T19:07:59.000000Z,145000.0,,1986.0,,2024-01-10,147000.0,2.0,,,6970.0,1650.0,2.0,,,,1.0,3.0,single_family
sold,2023-07-25T20:45:25.000000Z,215000.0,,1968.0,,2024-01-10,195000.0,2.0,,,16553.0,2264.0,2.0,,,2.0,1.0,5.0,single_family
sold,2023-11-09T21:32:22.000000Z,136000.0,,1968.0,,2024-01-09,136000.0,2.0,,,16988.0,1752.0,2.0,,,2.0,1.0,3.0,single_family
sold,2024-01-10T03:11:24.000000Z,31500.0,,1958.0,,2024-01-09,31500.0,1.0,,,11326.0,961.0,1.0,,,,1.0,3.0,single_family
sold,2023-11-07T00:05:24.000000Z,184900.0,5000.0,1967.0,,2024-01-08,178000.0,2.0,,,12632.0,1892.0,2.0,,,,1.0,4.0,single_family
sold,2023-12-05T03:11:36.000000Z,169900.0,,1975.0,,2024-01-08,172500.0,2.0,,,11326.0,1699.0,2.0,,,,1.0,4.0,single_family
sold,2023-10-24T22:03:07.000000Z,159000.0,,1962.0,,2024-01-08,150000.0,2.0,,,67954.0,1833.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-09-08T14:32:07.000000Z,180000.0,20000.0,1945.0,,2024-01-08,170000.0,2.0,,1.0,313632.0,3092.0,3.0,,,,1.0,3.0,single_family
sold,2023-11-06T18:42:05.000000Z,125000.0,,1957.0,,2024-01-05,125000.0,1.0,,,12632.0,1380.0,1.0,,,,1.0,3.0,single_family
sold,2023-11-09T19:26:26.000000Z,180000.0,,1984.0,,2024-01-05,162000.0,2.0,,,6098.0,1539.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-09T16:29:22.000000Z,118900.0,,1950.0,,2024-01-05,111200.0,2.0,,,8276.0,1178.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-05T18:44:56.000000Z,65000.0,,1948.0,,2024-01-05,63000.0,1.0,,,7405.0,1290.0,1.0,,,1.0,1.0,3.0,single_family
sold,2023-10-23T18:51:02.000000Z,110000.0,,1964.0,,2024-01-05,106000.0,2.0,,,16553.0,2349.0,2.0,,,,1.0,4.0,single_family
sold,2023-08-08T14:32:27.000000Z,420000.0,15500.0,1989.0,,2024-01-05,310000.0,3.0,,,22651.0,3137.0,3.0,,,,1.0,4.0,single_family
sold,2023-10-17T22:03:02.000000Z,249000.0,,2001.0,,2024-01-05,245000.0,2.0,,,6534.0,1742.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-09-21T19:38:23.000000Z,105000.0,7900.0,1950.0,,2024-01-05,100000.0,1.0,,,15682.0,1471.0,1.0,,,,1.0,3.0,single_family
sold,2023-12-04T21:26:28.000000Z,95500.0,,1971.0,,2024-01-05,95900.0,1.0,,1.0,10664.0,1200.0,2.0,,,,1.0,3.0,single_family
sold,2023-09-21T17:39:14.000000Z,410000.0,,1940.0,,2024-01-04,375000.0,3.0,,1.0,30056.0,4483.0,4.0,,,2.0,2.0,4.0,single_family
sold,2023-12-02T15:38:34.000000Z,334900.0,,2004.0,,2024-01-04,320000.0,2.0,,,9583.0,2488.0,2.0,,,2.0,1.0,3.0,single_family
sold,2023-10-05T13:47:17.000000Z,119900.0,100.0,1971.0,,2024-01-04,120000.0,2.0,,,10019.0,1747.0,2.0,,,,1.0,3.0,single_family
sold,2023-11-10T22:41:34.000000Z,289900.0,,1994.0,,2024-01-03,283000.0,2.0,,,13747.0,2069.0,2.0,,,2.0,1.0,4.0,single_family
